0.00E+00	1.10E+01	7.00E+00	4.00E+00	0.00E+00	4.00E+00	3.00E+00	1.30E+01	1.00E+01	8.00E+00	2.00E+00	1.00E+01	9.00E+00	9.00E+00	6.00E+00	5.00E+00	9
3.00E+00	5.00E+00	8.00E+00	8.00E+00	4.00E+00	7.00E+00	7.00E+00	7.00E+00	8.00E+00	6.00E+00	1.00E+01	9.00E+00	6.00E+00	7.00E+00	7.00E+00	5.00E+00	3
4.00E+00	8.00E+00	1.20E+01	3.00E+00	1.00E+00	1.10E+01	1.20E+01	9.00E+00	1.00E+01	7.00E+00	9.00E+00	7.00E+00	9.00E+00	7.00E+00	4.00E+00	5.00E+00	21
1.00E+00	9.00E+00	6.00E+00	6.00E+00	1.00E+00	4.00E+00	6.00E+00	1.20E+01	6.00E+00	1.10E+01	5.00E+00	9.00E+00	5.00E+00	8.00E+00	1.10E+01	1.00E+01	9
0.00E+00	7.00E+00	8.00E+00	6.00E+00	0.00E+00	0.00E+00	2.00E+00	0.00E+00	9.00E+00	8.00E+00	9.00E+00	5.00E+00	9.00E+00	7.00E+00	1.30E+01	7.00E+00	11
3.00E+00	8.00E+00	8.00E+00	5.00E+00	4.00E+00	6.00E+00	6.00E+00	7.00E+00	8.00E+00	8.00E+00	5.00E+00	6.00E+00	9.00E+00	8.00E+00	8.00E+00	6.00E+00	20
0.00E+00	8.00E+00	8.00E+00	1.50E+01	8.00E+00	6.00E+00	7.00E+00	9.00E+00	8.00E+00	6.00E+00	9.00E+00	1.00E+01	9.00E+00	7.00E+00	8.00E+00	7.00E+00	25
6.00E+00	1.10E+01	9.00E+00	4.00E+00	4.00E+00	6.00E+00	6.00E+00	7.00E+00	6.00E+00	7.00E+00	3.00E+00	1.00E+01	3.00E+00	9.00E+00	9.00E+00	5.00E+00	2
4.00E+00	3.00E+00	1.00E+01	5.00E+00	4.00E+00	5.00E+00	9.00E+00	1.20E+01	1.00E+01	3.00E+00	9.00E+00	7.00E+00	9.00E+00	7.00E+00	4.00E+00	9.00E+00	15
3.00E+00	7.00E+00	8.00E+00	9.00E+00	4.00E+00	5.00E+00	6.00E+00	6.00E+00	7.00E+00	9.00E+00	8.00E+00	7.00E+00	5.00E+00	5.00E+00	1.00E+01	7.00E+00	14
3.00E+00	9.00E+00	9.00E+00	7.00E+00	1.00E+00	1.00E+01	8.00E+00	7.00E+00	1.00E+01	5.00E+00	7.00E+00	9.00E+00	6.00E+00	8.00E+00	1.00E+01	7.00E+00	20
0.00E+00	1.50E+01	8.00E+00	1.10E+01	7.00E+00	6.00E+00	8.00E+00	7.00E+00	6.00E+00	4.00E+00	8.00E+00	6.00E+00	9.00E+00	1.10E+01	6.00E+00	6.00E+00	4
1.00E+00	1.30E+01	8.00E+00	9.00E+00	4.00E+00	5.00E+00	6.00E+00	6.00E+00	5.00E+00	2.00E+00	8.00E+00	1.10E+01	7.00E+00	9.00E+00	8.00E+00	7.00E+00	2
4.00E+00	9.00E+00	1.10E+01	1.00E+00	6.00E+00	7.00E+00	8.00E+00	7.00E+00	9.00E+00	5.00E+00	5.00E+00	6.00E+00	7.00E+00	6.00E+00	6.00E+00	2.00E+00	24
2.00E+00	4.00E+00	1.20E+01	5.00E+00	1.00E+00	9.00E+00	1.30E+01	1.10E+01	7.00E+00	8.00E+00	8.00E+00	6.00E+00	6.00E+00	6.00E+00	8.00E+00	8.00E+00	19
4.00E+00	1.00E+01	1.10E+01	9.00E+00	4.00E+00	1.10E+01	8.00E+00	9.00E+00	8.00E+00	9.00E+00	1.00E+01	7.00E+00	9.00E+00	1.00E+01	1.10E+01	1.10E+01	23
1.00E+00	8.00E+00	6.00E+00	6.00E+00	1.00E+00	4.00E+00	6.00E+00	1.20E+01	9.00E+00	8.00E+00	6.00E+00	7.00E+00	9.00E+00	6.00E+00	9.00E+00	9.00E+00	9
1.00E+00	3.00E+00	1.00E+01	4.00E+00	2.00E+00	5.00E+00	1.00E+01	1.20E+01	7.00E+00	8.00E+00	9.00E+00	3.00E+00	8.00E+00	6.00E+00	6.00E+00	8.00E+00	15
1.00E+00	8.00E+00	1.10E+01	6.00E+00	2.00E+00	1.10E+01	1.00E+01	8.00E+00	9.00E+00	7.00E+00	8.00E+00	8.00E+00	8.00E+00	1.00E+01	7.00E+00	8.00E+00	24
3.00E+00	9.00E+00	8.00E+00	8.00E+00	5.00E+00	7.00E+00	7.00E+00	1.10E+01	8.00E+00	1.00E+01	8.00E+00	6.00E+00	9.00E+00	9.00E+00	7.00E+00	8.00E+00	4
3.00E+00	6.00E+00	8.00E+00	7.00E+00	1.00E+01	6.00E+00	6.00E+00	6.00E+00	1.20E+01	6.00E+00	9.00E+00	6.00E+00	9.00E+00	9.00E+00	1.00E+01	9.00E+00	1
4.00E+00	1.00E+01	8.00E+00	3.00E+00	8.00E+00	6.00E+00	7.00E+00	7.00E+00	7.00E+00	6.00E+00	9.00E+00	1.00E+01	1.00E+01	7.00E+00	6.00E+00	6.00E+00	4
4.00E+00	7.00E+00	8.00E+00	3.00E+00	1.00E+00	7.00E+00	8.00E+00	8.00E+00	6.00E+00	6.00E+00	7.00E+00	6.00E+00	1.00E+01	9.00E+00	7.00E+00	6.00E+00	13
